,University,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,location
51,University of Strathclyde,0.27,0.5,0.5,0.28300000000000003,0.316,0.519,0.436,0.862,"(55.8618812, -4.241956565778082, 0.0)"
52,Middlesex University,0.45,0.6,0.4,0.19399999999999998,0.17300000000000001,0.742,0.34600000000000003,0.883,"(51.590297050000004, -0.2296322094540291, 0.0)"
53,Liverpool John Moores University,0.14,0.53,0.47,0.177,0.175,0.782,0.349,0.718,"(53.404901949999996, -2.970536616686136, 0.0)"
54,SOAS University of London,0.53,0.65,0.35,0.419,0.377,0.312,0.344,0.795,"(51.5218636, -0.1288498090705063, 0.0)"
55,Bangor University,0.23,0.58,0.42,0.22399999999999998,0.207,0.6629999999999999,0.35700000000000004,0.818,"(53.22986105, -4.130231391613091, 0.0)"
56,Bournemouth University,0.18,0.55,0.45,0.332,0.187,0.555,0.348,0.7979999999999999,"(50.742374999999996, -1.8945761635542029, 0.0)"
57,University of Portsmouth,0.26,0.45,0.55,0.17800000000000002,0.162,0.71,0.349,0.877,"(50.7944026, -1.0971748, 0.0)"
58,Keele University,0.19,0.56,0.44,0.203,0.22399999999999998,0.6409999999999999,0.355,0.738,"(53.0016756, -2.270694218876779, 0.0)"
59,University of Plymouth,0.15,0.55,0.45,0.203,0.193,0.675,0.35,0.703,"(50.420415250000005, -4.111300202657434, 0.0)"
60,Aston University,0.26,0.48,0.52,0.21,0.242,0.551,0.371,0.924,"(52.48620785, -1.888499150885147, 0.0)"
61,University of the West of Scotland,0.21,0.59,0.41,0.139,0.139,0.768,0.35,0.746,"(55.778264, -4.104054, 0.0)"
62,University of Hull,0.19,0.53,0.47,0.223,0.23,0.561,0.363,0.765,"(53.769248, -0.3688096, 0.0)"
63,The Open University,0.08,0.62,0.38,0.182,0.161,0.665,0.348,0.57,"(54.59646585, -5.92351431993203, 0.0)"
64,University of Lincoln,0.13,0.56,0.44,0.165,0.141,0.643,0.353,0.7120000000000001,"(53.2297151, -0.550105, 0.0)"
65,Oxford Brookes University,0.28,0.59,0.41,0.285,0.24,0.374,0.34600000000000003,0.784,"(51.755194, -1.2244207335016766, 0.0)"
66,Nottingham Trent University,0.19,0.57,0.43,0.177,0.129,0.595,0.349,0.69,"(52.9577861, -1.1547084, 0.0)"
67,Manchester Metropolitan University,0.16,0.58,0.42,0.201,0.142,0.5539999999999999,0.348,0.653,"(53.4447098, -2.215413191165211, 0.0)"
68,University of Huddersfield,0.24,0.55,0.45,0.228,0.2,0.44799999999999995,0.366,0.72,"(53.643678, -1.778726, 0.0)"
69,De Montfort University,0.27,0.56,0.44,0.16899999999999998,0.138,0.504,0.34600000000000003,0.7559999999999999,"(52.630060900000004, -1.1398434074941486, 0.0)"
70,Glasgow Caledonian University,0.17,0.59,0.41,0.157,0.122,0.562,0.35200000000000004,0.611,"(55.86746635, -4.250245389417843, 0.0)"
71,Ulster University,0.08,0.55,0.45,0.21,0.18,0.409,0.35600000000000004,0.757,"(54.604374, -5.929176, 0.0)"
72,University of the West of England,0.21,0.53,0.47,0.171,0.152,0.484,0.349,0.643,"(51.5014859, -2.5487278, 0.0)"
73,Coventry University,0.46,0.47,0.53,0.174,0.127,0.441,0.34700000000000003,0.893,"(52.4056372, -1.4997222676795412, 0.0)"
74,University of Greenwich,0.36,0.58,0.42,0.171,0.152,0.395,0.354,0.894,"(51.4825423, -0.0066531, 0.0)"
75,University of Brighton,0.21,0.59,0.41,0.171,0.142,0.434,0.35100000000000003,0.7559999999999999,"(50.827806949999996, -0.13421551005621962, 0.0)"
76,University of Hertfordshire,0.28,0.56,0.44,0.175,0.13,0.42700000000000005,0.353,0.8009999999999999,"(51.76164775, -0.24837182531823293, 0.0)"
77,University of Westminster,0.46,0.6,0.4,0.182,0.162,0.36700000000000005,0.348,0.867,"(51.5168987, -0.14330516808711596, 0.0)"
78,Edinburgh Napier University,0.33,0.55,0.45,0.16699999999999998,0.139,0.40399999999999997,0.35600000000000004,0.8,"(55.9334398, -3.2118455, 0.0)"
79,University of Salford,0.22,0.52,0.48,0.187,0.14800000000000002,0.387,0.348,0.701,"(53.488826599999996, -2.2722708393956568, 0.0)"
80,University of Bradford,0.28,0.56,0.44,0.193,0.16399999999999998,0.33,0.369,0.812,"(53.7912775, -1.7666110188908903, 0.0)"
81,University of Roehampton,0.28,0.71,0.29,0.187,0.19899999999999998,0.313,0.345,0.76,"(51.4487292, -0.24409781867976343, 0.0)"
82,University of East London,0.3,0.63,0.37,0.204,0.145,0.32799999999999996,0.344,0.7859999999999999,"(51.50727345, 0.06440549810746152, 0.0)"
83,Kingston University,0.36,0.57,0.43,0.17600000000000002,0.156,0.33299999999999996,0.34700000000000003,0.8420000000000001,"(51.4293086, -0.2684044, 0.0)"
84,Sheffield Hallam University,0.13,0.55,0.45,0.175,0.132,0.414,0.348,0.529,"(53.38208885, -1.4644136679778845, 0.0)"
85,University of Central Lancashire,0.18,0.58,0.42,0.157,0.127,0.397,0.348,0.6459999999999999,"(53.763403350000004, -2.708749242247724, 0.0)"
86,Cardiff Metropolitan University,0.17,0.55,0.45,0.165,0.10800000000000001,0.41,0.34700000000000003,0.61,"(51.495940000000004, -3.2125963956708388, 0.0)"
87,Teesside University,0.11,0.56,0.44,0.155,0.106,0.439,0.348,0.537,"(54.5703695, -1.2350966186282335, 0.0)"
88,Leeds Beckett University,0.12,0.51,0.49,0.166,0.139,0.395,0.35,0.498,"(53.80318895, -1.548929226241939, 0.0)"
